GameID,Week,Date,HomeID,AwayID,OpponentName,Division,Status,HomeScore,AwayScore,IsConference
2026-W01-001,1,2026-09-04,BAN,MAS,,A North,Scheduled,,,True
2026-W01-002,1,2026-09-04,BID,BRU,,B South,Scheduled,,,True
2026-W01-003,1,2026-09-04,BON,SOP,,A South,Scheduled,,,True
2026-W01-004,1,2026-09-04,DEE,EDL,,A North,Scheduled,,,True
2026-W01-005,1,2026-09-04,FRY,CON,,B North,Scheduled,,,True
2026-W01-006,1,2026-09-04,GOR,LAW,,B South,Scheduled,,,True
2026-W01-007,1,2026-09-04,KEN,FAL,,B South,Scheduled,,,True
2026-W01-008,1,2026-09-04,LEW,POR,,A North,Scheduled,,,True
2026-W01-009,1,2026-09-04,MES,CAM,,B North,Scheduled,,,True
2026-W01-010,1,2026-09-04,MTB,SKO,,B North,Scheduled,,,True
2026-W01-011,1,2026-09-04,NOB,OOC,Dover (NH),A South,Scheduled,,,False
2026-W01-012,1,2026-09-04,SAN,MAR,,A South,Scheduled,,,True
2026-W01-013,1,2026-09-04,THO,SCA,,A South,Scheduled,,,True
2026-W01-014,1,2026-09-04,WES,CHE,,B South,Scheduled,,,True
2026-W01-015,1,2026-09-04,WIN,OXF,,A North,Scheduled,,,True
2026-W02-001,2,2026-09-11,BID,GOR,,B South,Scheduled,,,True
2026-W02-002,2,2026-09-11,BRU,MES,,B North,Scheduled,,,True
2026-W02-003,2,2026-09-11,CAM,MTB,,B North,Scheduled,,,True
2026-W02-004,2,2026-09-11,CHE,FAL,,B South,Scheduled,,,True
2026-W02-005,2,2026-09-11,CON,SKO,,B North,Scheduled,,,True
2026-W02-006,2,2026-09-11,EDL,OOC,Salem (NH),A North,Scheduled,,,False
2026-W02-007,2,2026-09-11,LAW,FRY,,B North,Scheduled,,,True
2026-W02-008,2,2026-09-11,LEW,BAN,,A North,Scheduled,,,True
2026-W02-009,2,2026-09-11,MAR,WES,,B South,Scheduled,,,True
2026-W02-010,2,2026-09-11,MAS,KEN,,A South,Scheduled,,,True
2026-W02-011,2,2026-09-11,NOB,BON,,A South,Scheduled,,,True
2026-W02-012,2,2026-09-11,OXF,DEE,,A North,Scheduled,,,True
2026-W02-013,2,2026-09-11,SCA,POR,,A South,Scheduled,,,True
2026-W02-014,2,2026-09-11,SOP,THO,,A South,Scheduled,,,True
2026-W02-015,2,2026-09-11,WIN,SAN,,A North,Scheduled,,,True
2026-W03-001,3,2026-09-18,BRU,FRY,,B North,Scheduled,,,True
2026-W03-002,3,2026-09-18,CAM,OOC,Medomak Valley,B North,Scheduled,,,False
2026-W03-003,3,2026-09-18,CHE,KEN,,B South,Scheduled,,,True
2026-W03-004,3,2026-09-18,DEE,BAN,,A North,Scheduled,,,True
2026-W03-005,3,2026-09-18,FAL,WES,,B South,Scheduled,,,True
2026-W03-006,3,2026-09-18,GOR,MAR,,B South,Scheduled,,,True
2026-W03-007,3,2026-09-18,MAS,BON,,A South,Scheduled,,,True
2026-W03-008,3,2026-09-18,MES,LEW,,B North,Scheduled,,,True
2026-W03-009,3,2026-09-18,MTB,CON,,B North,Scheduled,,,True
2026-W03-010,3,2026-09-18,NOB,SAN,,A South,Scheduled,,,True
2026-W03-011,3,2026-09-18,OOC,BID,Morse,B South,Scheduled,,,False
2026-W03-012,3,2026-09-18,OXF,EDL,,A North,Scheduled,,,True
2026-W03-013,3,2026-09-18,POR,WIN,,A North,Scheduled,,,True
2026-W03-014,3,2026-09-18,SCA,SOP,,A South,Scheduled,,,True
2026-W03-015,3,2026-09-18,SKO,LAW,,B North,Scheduled,,,True
2026-W03-016,3,2026-09-18,THO,OOC,Pinkerton Academy (NH),A South,Scheduled,,,False
2026-W04-001,4,2026-09-25,BAN,WIN,,A North,Scheduled,,,True
2026-W04-002,4,2026-09-25,BON,SCA,,A South,Scheduled,,,True
2026-W04-003,4,2026-09-25,CON,MES,,B North,Scheduled,,,True
2026-W04-004,4,2026-09-25,DEE,LEW,,A North,Scheduled,,,True
2026-W04-005,4,2026-09-25,FAL,BID,,B South,Scheduled,,,True
2026-W04-006,4,2026-09-25,FRY,CAM,,B North,Scheduled,,,True
2026-W04-007,4,2026-09-25,KEN,GOR,,B South,Scheduled,,,True
2026-W04-008,4,2026-09-25,MAR,NOB,,B South,Scheduled,,,True
2026-W04-009,4,2026-09-25,MTB,LAW,,B North,Scheduled,,,True
2026-W04-010,4,2026-09-25,POR,EDL,,A North,Scheduled,,,True
2026-W04-011,4,2026-09-25,SAN,MAS,,A South,Scheduled,,,True
2026-W04-012,4,2026-09-25,SKO,BRU,,B North,Scheduled,,,True
2026-W04-013,4,2026-09-25,SOP,CHE,,A South,Scheduled,,,True
2026-W04-014,4,2026-09-25,WES,THO,,B South,Scheduled,,,True
2026-W05-001,5,2026-10-02,BID,WES,,B South,Scheduled,,,True
2026-W05-002,5,2026-10-02,BRU,MTB,,B North,Scheduled,,,True
2026-W05-003,5,2026-10-02,CAM,SKO,,B North,Scheduled,,,True
2026-W05-004,5,2026-10-02,CHE,GOR,,B South,Scheduled,,,True
2026-W05-005,5,2026-10-02,EDL,SCA,,A North,Scheduled,,,True
2026-W05-006,5,2026-10-02,FAL,MAR,,B South,Scheduled,,,True
2026-W05-007,5,2026-10-02,KEN,DEE,,B South,Scheduled,,,True
2026-W05-008,5,2026-10-02,LAW,CON,,B North,Scheduled,,,True
2026-W05-009,5,2026-10-02,LEW,OXF,,A North,Scheduled,,,True
2026-W05-010,5,2026-10-02,MAS,NOB,,A South,Scheduled,,,True
2026-W05-011,5,2026-10-02,MES,FRY,,B North,Scheduled,,,True
2026-W05-012,5,2026-10-02,SAN,SOP,,A South,Scheduled,,,True
2026-W05-013,5,2026-10-02,THO,POR,,A South,Scheduled,,,True
2026-W05-014,5,2026-10-02,WIN,BON,,A North,Scheduled,,,True
2026-W06-001,6,2026-10-09,BON,OXF,,A South,Scheduled,,,True
2026-W06-002,6,2026-10-09,CHE,MAR,,B South,Scheduled,,,True
2026-W06-003,6,2026-10-09,CON,CAM,,B North,Scheduled,,,True
2026-W06-004,6,2026-10-09,EDL,WIN,,A North,Scheduled,,,True
2026-W06-005,6,2026-10-09,FRY,KEN,,B North,Scheduled,,,True
2026-W06-006,6,2026-10-09,GOR,FAL,,B South,Scheduled,,,True
2026-W06-007,6,2026-10-09,LAW,BRU,,B North,Scheduled,,,True
2026-W06-008,6,2026-10-09,MES,MTB,,B North,Scheduled,,,True
2026-W06-009,6,2026-10-09,NOB,THO,,A South,Scheduled,,,True
2026-W06-010,6,2026-10-09,POR,BAN,,A North,Scheduled,,,True
2026-W06-011,6,2026-10-09,SCA,SAN,,A South,Scheduled,,,True
2026-W06-012,6,2026-10-09,SKO,BID,,B North,Scheduled,,,True
2026-W06-013,6,2026-10-09,SOP,MAS,,A South,Scheduled,,,True
2026-W06-014,6,2026-10-09,WES,DEE,,B South,Scheduled,,,True
2026-W07-001,7,2026-10-16,BAN,EDL,,A North,Scheduled,,,True
2026-W07-002,7,2026-10-16,BON,OOC,Exeter (NH),A South,Scheduled,,,False
2026-W07-003,7,2026-10-16,CAM,LAW,,B North,Scheduled,,,True
2026-W07-004,7,2026-10-16,CON,BRU,,B North,Scheduled,,,True
2026-W07-005,7,2026-10-16,DEE,CHE,,A North,Scheduled,,,True
2026-W07-006,7,2026-10-16,GOR,SCA,,B South,Scheduled,,,True
2026-W07-007,7,2026-10-16,KEN,WES,,B South,Scheduled,,,True
2026-W07-008,7,2026-10-16,MAR,BID,,B South,Scheduled,,,True
2026-W07-009,7,2026-10-16,MAS,LEW,,A South,Scheduled,,,True
2026-W07-010,7,2026-10-16,MTB,FRY,,B North,Scheduled,,,True
2026-W07-011,7,2026-10-16,NOB,SOP,,A South,Scheduled,,,True
2026-W07-012,7,2026-10-16,OXF,POR,,A North,Scheduled,,,True
2026-W07-013,7,2026-10-16,SKO,MES,,B North,Scheduled,,,True
2026-W07-014,7,2026-10-16,THO,SAN,,A South,Scheduled,,,True
2026-W07-015,7,2026-10-16,WIN,FAL,,A North,Scheduled,,,True
2026-W08-001,8,2026-10-23,BID,CHE,,B South,Scheduled,,,True
2026-W08-002,8,2026-10-23,BRU,CAM,,B North,Scheduled,,,True
2026-W08-003,8,2026-10-23,EDL,MTB,,A North,Scheduled,,,True
2026-W08-004,8,2026-10-23,FAL,OOC,Greely,B South,Scheduled,,,False
2026-W08-005,8,2026-10-23,FRY,SKO,,B North,Scheduled,,,True
2026-W08-006,8,2026-10-23,LAW,MES,,B North,Scheduled,,,True
2026-W08-007,8,2026-10-23,LEW,WIN,,A North,Scheduled,,,True
2026-W08-008,8,2026-10-23,MAR,KEN,,B South,Scheduled,,,True
2026-W08-009,8,2026-10-23,OOC,CON,Gardiner,B North,Scheduled,,,False
2026-W08-010,8,2026-10-23,OXF,NOB,,A North,Scheduled,,,True
2026-W08-011,8,2026-10-23,POR,DEE,,A North,Scheduled,,,True
2026-W08-012,8,2026-10-23,SAN,BAN,,A South,Scheduled,,,True
2026-W08-013,8,2026-10-23,SCA,MAS,,A South,Scheduled,,,True
2026-W08-014,8,2026-10-23,SOP,OOC,Winnacunnet (NH),A South,Scheduled,,,False
2026-W08-015,8,2026-10-23,THO,BON,,A South,Scheduled,,,True
2026-W08-016,8,2026-10-23,WES,GOR,,B South,Scheduled,,,True
2026-W09-001,9,2026-10-30,BAN,OXF,,A North,Scheduled,,,True
2026-W09-002,9,2026-10-30,BON,SAN,,A South,Scheduled,,,True
2026-W09-003,9,2026-10-30,DEE,WIN,,A North,Scheduled,,,True
2026-W09-004,9,2026-10-30,EDL,LEW,,A North,Scheduled,,,True
2026-W09-005,9,2026-10-30,MAS,THO,,A South,Scheduled,,,True
2026-W09-006,9,2026-10-30,SCA,NOB,,A South,Scheduled,,,True
2026-W09-007,9,2026-10-30,SOP,POR,,A South,Scheduled,,,True
