TeamID,PlayoffResult,PreseasonScore
THO,State Champion,100
WES,State Champion,100
POR,State Runner-Up,92
CON,State Runner-Up,92
BON,Regional Finalist,84
BAN,Regional Finalist,84
FRY,Regional Finalist,84
KEN,Regional Finalist,84
LAW,Semifinalist,74
MES,Semifinalist,74
MAR,Semifinalist,74
FAL,Semifinalist,74
DEE,Quarterfinalist,64
OXF,Quarterfinalist,64
SOP,Quarterfinalist,64
NOB,Quarterfinalist,64
MTB,Quarterfinalist,64
SKO,Quarterfinalist,64
CHE,Quarterfinalist,64
GOR,Quarterfinalist,64
EDL,Missed Playoffs,50
LEW,Missed Playoffs,50
WIN,Missed Playoffs,50
MAS,Missed Playoffs,50
SAN,Missed Playoffs,50
SCA,Missed Playoffs,50
BRU,Missed Playoffs,50
CAM,Missed Playoffs,50
BID,Missed Playoffs,50
